idX,centerX,yearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,KlocX,Effort-,Defects-,MonthsX
1,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,25.9,117.6,808,15.3
2,c2,1979, h,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,24.6,117.6,767,15
3,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,7.7,31.2,240,10.1
4,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,8.2,36,256,10.4
5,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,9.7,25.2,302,11
6,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,2.2,8.4,69,6.6
7,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3.5,10.8,109,7.8
8,c2,1982,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,66.6,352.8,2077,21
9,c1,1980,4,4,4,5,4,4,2,4,3,3,6,6,2,4,4,3,4,3,4,4,3,3,7.5,72,226,13.6
10,c1,1980,4,4,4,5,3,3,2,4,3,3,3,3,2,4,5,3,5,3,4,3,3,3,20,72,566,14.4
11,c1,1984,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,6,24,188,9.9
12,c1,1980,4,4,4,5,3,3,2,4,3,3,3,3,2,4,5,3,5,3,4,3,3,3,100,360,2832,25.2
13,c1,1985,4,4,4,5,3,3,2,4,3,3,3,3,2,4,3,3,5,3,2,3,3,3,11.3,36,456,12.8
14,c1,1980,4,4,4,5,3,3,2,4,3,3,3,3,4,4,4,3,4,2,1,3,3,3,100,215,5434,30.1
15,c1,1983,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,20,48,626,15.1
16,c1,1982,4,4,4,5,3,3,2,4,3,3,3,3,2,4,3,3,3,3,1,3,3,3,100,360,4342,28
17,c1,1980,4,4,4,5,3,3,2,4,3,3,3,6,2,4,5,3,5,3,4,3,3,3,150,324,4868,32.5
18,c1,1984,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,4,3,4,3,3,3,31.5,60,986,17.6
19,c1,1983,4,4,4,5,3,3,2,4,3,3,3,3,2,4,4,3,5,3,4,3,3,3,15,48,470,13.6
20,c1,1984,4,4,4,5,3,3,2,4,3,3,3,6,2,4,3,3,4,3,4,3,3,3,32.5,60,1276,20.8
21,c2,1985,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,19.7,60,614,13.9
22,c2,1985,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,66.6,300,2077,21
23,c2,1985,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,29.5,120,920,16
24,c2,1986,4,4,4,5,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,15,90,575,15.2
25,c2,1986,4,4,4,5,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,38,210,1553,21.3
26,c2,1986,4,4,4,5,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,10,48,427,12.4
27,c2,1982,4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,15.4,70,765,14.5
28,c2,1982,4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,48.5,239,2409,21.4
29,c2,1982,4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,16.3,82,810,14.8
29,c2,1982,4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,12.8,62,636,13.6
31,c2,1982,4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,32.6,170,1619,18.7
32,c2,1982,4,4,4,5,4,3,5,4,3,3,5,5,2,5,3,3,4,2,4,3,3,2,35.5,192,1763,19.3
33,c2,1985,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,5.5,18,172,9.1
34,c2,1987,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,10.4,50,324,11.2
35,c2,1987,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,14,60,437,12.4
36,c2,1986,4,4,4,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6.5,42,290,12
37,c2,1986,4,4,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,60,683,14.8
38,c2,1986,4,4,4,5,4,3,3,4,3,3,3,3,3,3,4,3,3,3,4,4,3,3,90,444,3343,26.7
39,c2,1986,4,4,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,42,420,12.5
40,c2,1986,4,4,4,5,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,16,114,887,16.4
41,c2,1980,4,4,4,5,4,3,4,4,3,3,5,4,2,4,4,3,3,2,4,3,3,2,177.9,1248,7998,31.5
42,c6,1975,4,4,4,5,4,4,2,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,302,2400,8543,38.4
43,c5,1982,4,4,4,5,4,3,4,2,3,3,3,3,4,4,3,3,4,3,3,4,3,3,282.1,1368,9820,37.3
44,c5,1982,4,4,4,5,4,4,4,2,3,3,3,3,3,4,3,3,4,3,3,3,3,3,284.7,973,8518,38.1
45,c5,1982,4,4,4,5,3,4,4,3,3,3,3,3,2,3,4,3,4,3,4,3,3,3,79,400,2327,26.9
46,c5,1977,4,4,4,5,2,2,3,3,3,3,3,3,2,4,5,3,4,3,4,3,3,3,423,2400,18447,41.9
47,c5,1977,4,4,4,5,4,3,3,3,3,3,3,3,2,4,5,3,5,2,4,3,3,3,190,420,5092,30.3
48,c5,1984,4,4,4,5,4,3,3,4,3,3,3,4,3,4,3,3,4,3,4,3,3,3,47.5,252,2007,22.3
49,c5,1980,4,4,4,5,2,5,3,6,3,3,4,4,2,3,3,3,4,3,3,4,3,3,21,107,1058,21.3
50,c5,1983,4,4,4,5,2,3,4,4,3,3,5,3,3,4,4,3,4,3,4,3,3,3,78,571.4,4815,30.5
51,c5,1984,4,4,4,5,2,3,4,4,3,3,5,3,3,4,4,3,4,3,4,3,3,3,11.4,98.8,704,15.5
52,c5,1985,4,4,4,5,2,3,4,4,3,3,5,3,3,4,4,3,4,3,4,3,3,3,19.3,155,1191,18.6
53,c5,1979,4,4,4,5,2,4,3,5,3,3,4,4,2,4,3,3,3,4,4,3,3,3,101,750,4840,32.4
54,c5,1979,4,4,4,5,2,4,3,4,3,3,4,4,2,3,3,3,4,3,3,3,3,3,219,2120,11761,42.8
55,c5,1979,4,4,4,5,2,4,3,4,3,3,4,4,2,3,3,3,4,3,3,3,3,3,50,370,2685,25.4
56,c2,1979,4,4,4,5,4,5,4,4,3,3,5,5,3,5,5,3,5,3,4,4,3,2,227,1181,6293,33.8
57,c2,1977,4,4,4,5,4,3,4,5,3,3,3,3,2,4,5,3,3,2,3,3,3,2,70,278,2950,20.2
58,c2,1979,4,4,4,5,4,4,2,4,3,3,3,3,2,3,3,3,3,3,4,3,3,2,0.9,8.4,28,4.9
59,c6,1974,4,4,4,5,2,5,2,6,3,3,6,5,2,4,4,3,5,1,4,3,3,3,980,4560,50961,96.4
60,c6,1975,4,4,4,5,3,3,2,4,3,3,3,3,2,5,5,3,3,4,4,3,3,3,350,720,8547,35.7
61,c5,1976,4,4,4,5,4,4,3,6,3,3,4,4,2,4,3,3,3,4,4,4,3,3,70,458,2404,27.5
62,c5,1979,4,4,4,5,4,4,3,6,3,3,4,4,2,4,3,3,3,4,4,4,3,3,271,2460,9308,43.4
63,c5,1971,4,4,4,5,3,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,3,3,90,162,2743,25
64,c5,1980,4,4,4,5,3,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,3,3,40,150,1219,18.9
65,c5,1979,4,4,4,5,3,4,3,4,3,3,4,3,2,4,4,3,4,3,4,3,3,3,137,636,4210,32.2
66,c5,1977,4,4,4,5,3,4,3,4,3,3,4,3,4,4,4,3,4,3,4,3,3,3,150,882,5848,36.2
67,c5,1976,4,4,4,5,3,5,3,4,3,3,4,3,2,4,4,3,4,3,4,3,3,3,339,444,8477,45.9
68,c5,1983,4,4,4,5,3,2,4,2,3,3,3,3,4,4,4,3,4,3,4,3,3,3,240,192,10313,37.1
69,c5,1978,4,4,4,5,2,4,3,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,144,576,6129,28.8
70,c5,1979,4,4,4,5,2,3,2,3,3,3,3,5,2,4,4,3,4,4,4,3,3,2,151,432,6136,26.2
71,c5,1979,4,4,4,5,2,3,2,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,34,72,1555,16.2
72,c5,1979,4,4,4,5,2,3,3,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,98,300,4907,24.4
73,c5,1979,4,4,4,5,2,3,3,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,85,300,4256,23.2
74,c5,1982,4,4,4,5,2,3,2,3,3,3,3,5,2,4,4,3,4,4,4,3,3,2,20,240,813,12.8
75,c5,1978,4,4,4,5,2,3,2,3,3,3,3,5,2,4,4,3,4,4,4,3,3,2,111,600,4511,23.5
76,c5,1978,4,4,4,5,2,4,5,4,3,3,3,5,2,4,4,3,4,4,4,3,3,2,162,756,7553,32.4
77,c5,1978,4,4,4,5,2,4,4,5,3,3,3,5,2,4,4,3,4,4,4,3,3,2,352,1200,17597,42.9
78,c5,1979,4,4,4,5,2,4,3,5,3,3,3,5,2,4,4,3,4,4,4,3,3,2,165,97,7867,31.5
79,c5,1984,4,4,4,5,4,4,3,5,3,3,4,4,2,4,3,3,3,4,4,3,3,3,60,409,2004,24.9
80,c5,1984,4,4,4,5,4,4,3,5,3,3,4,4,2,4,3,3,3,4,4,3,3,3,100,703,3340,29.6
81,c2,1980,4,4,4,5,3,4,5,5,3,3,6,6,4,3,3,3,3,2,2,3,3,3,32,1350,2984,33.6
82,c2,1980,4,4,4,5,4,4,4,4,3,3,5,6,4,4,4,3,4,4,4,3,3,3,53,480,2227,28.8
83,c3,1977,4,4,4,5,4,4,2,5,3,3,5,6,2,5,5,3,5,1,1,4,3,3,41,599,1594,23
84,c3,1977,4,4,4,5,4,4,2,5,3,3,5,6,2,5,5,3,5,1,1,4,3,3,24,430,933,19.2
85,c5,1977,4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,165,4178.2,6266,47.3
86,c5,1977,4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,65,1772.5,2468,34.5
87,c5,1977,4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,70,1645.9,2658,35.4
88,c5,1977,4,4,4,5,4,5,4,6,3,3,6,6,3,4,4,3,4,4,4,3,3,3,50,1924.5,2102,34.2
89,c5,1982,4,4,4,5,2,5,2,5,3,3,5,6,2,4,3,3,2,1,2,4,3,3,7.25,648,406,15.6
90,c5,1980,4,4,4,5,4,5,4,5,3,3,6,6,3,4,4,3,4,4,4,3,3,3,233,8211,8848,53.1
91,c2,1983,4,4,4,5,3,4,3,5,3,3,5,5,4,3,3,3,3,2,2,3,3,3,16.3,480,1253,21.5
92,c2,1983,4,4,4,5,3,4,3,5,3,3,5,5,4,3,3,3,3,2,2,3,3,3,6.2,12,477,15.4
93,c2,1983,4,4,4,5,3,4,3,5,3,3,5,5,4,3,3,3,3,2,2,3,3,3,3  ,38,231,12
